SAMPLE_KEY,PLATE_ID,WELL_POSITION,SITE,IMG_Hoechst,IMG_ERSyto,IMG_Ph_golgi,IMG_Mito,IMG_ERSytoBleed
P102785-A09-1,P102785,A09,1,A09_s1_x0_y0_Fluorescence_405_nm_Ex.tiff,A09_s1_x0_y0_Fluorescence_488_nm_Ex.tiff,A09_s1_x0_y0_Fluorescence_561_nm_Ex.tiff,A09_s1_x0_y0_Fluorescence_638_nm_Ex.tiff,A09_s1_x0_y0_Fluorescence_730_nm_Ex.tiff
P102785-A09-2,P102785,A09,2,A09_s2_x1_y0_Fluorescence_405_nm_Ex.tiff,A09_s2_x1_y0_Fluorescence_488_nm_Ex.tiff,A09_s2_x1_y0_Fluorescence_561_nm_Ex.tiff,A09_s2_x1_y0_Fluorescence_638_nm_Ex.tiff,A09_s2_x1_y0_Fluorescence_730_nm_Ex.tiff
P102785-A09-3,P102785,A09,3,A09_s3_x2_y0_Fluorescence_405_nm_Ex.tiff,A09_s3_x2_y0_Fluorescence_488_nm_Ex.tiff,A09_s3_x2_y0_Fluorescence_561_nm_Ex.tiff,A09_s3_x2_y0_Fluorescence_638_nm_Ex.tiff,A09_s3_x2_y0_Fluorescence_730_nm_Ex.tiff
P102785-A09-4,P102785,A09,4,A09_s4_x0_y1_Fluorescence_405_nm_Ex.tiff,A09_s4_x0_y1_Fluorescence_488_nm_Ex.tiff,A09_s4_x0_y1_Fluorescence_561_nm_Ex.tiff,A09_s4_x0_y1_Fluorescence_638_nm_Ex.tiff,A09_s4_x0_y1_Fluorescence_730_nm_Ex.tiff
P102785-A09-5,P102785,A09,5,A09_s5_x1_y1_Fluorescence_405_nm_Ex.tiff,A09_s5_x1_y1_Fluorescence_488_nm_Ex.tiff,A09_s5_x1_y1_Fluorescence_561_nm_Ex.tiff,A09_s5_x1_y1_Fluorescence_638_nm_Ex.tiff,A09_s5_x1_y1_Fluorescence_730_nm_Ex.tiff
P102785-A09-6,P102785,A09,6,A09_s6_x2_y1_Fluorescence_405_nm_Ex.tiff,A09_s6_x2_y1_Fluorescence_488_nm_Ex.tiff,A09_s6_x2_y1_Fluorescence_561_nm_Ex.tiff,A09_s6_x2_y1_Fluorescence_638_nm_Ex.tiff,A09_s6_x2_y1_Fluorescence_730_nm_Ex.tiff
P102785-A09-7,P102785,A09,7,A09_s7_x0_y2_Fluorescence_405_nm_Ex.tiff,A09_s7_x0_y2_Fluorescence_488_nm_Ex.tiff,A09_s7_x0_y2_Fluorescence_561_nm_Ex.tiff,A09_s7_x0_y2_Fluorescence_638_nm_Ex.tiff,A09_s7_x0_y2_Fluorescence_730_nm_Ex.tiff
P102785-A09-8,P102785,A09,8,A09_s8_x1_y2_Fluorescence_405_nm_Ex.tiff,A09_s8_x1_y2_Fluorescence_488_nm_Ex.tiff,A09_s8_x1_y2_Fluorescence_561_nm_Ex.tiff,A09_s8_x1_y2_Fluorescence_638_nm_Ex.tiff,A09_s8_x1_y2_Fluorescence_730_nm_Ex.tiff
P102785-A09-9,P102785,A09,9,A09_s9_x2_y2_Fluorescence_405_nm_Ex.tiff,A09_s9_x2_y2_Fluorescence_488_nm_Ex.tiff,A09_s9_x2_y2_Fluorescence_561_nm_Ex.tiff,A09_s9_x2_y2_Fluorescence_638_nm_Ex.tiff,A09_s9_x2_y2_Fluorescence_730_nm_Ex.tiff
P102785-A10-1,P102785,A10,1,A10_s1_x0_y0_Fluorescence_405_nm_Ex.tiff,A10_s1_x0_y0_Fluorescence_488_nm_Ex.tiff,A10_s1_x0_y0_Fluorescence_561_nm_Ex.tiff,A10_s1_x0_y0_Fluorescence_638_nm_Ex.tiff,A10_s1_x0_y0_Fluorescence_730_nm_Ex.tiff
P102785-A10-2,P102785,A10,2,A10_s2_x1_y0_Fluorescence_405_nm_Ex.tiff,A10_s2_x1_y0_Fluorescence_488_nm_Ex.tiff,A10_s2_x1_y0_Fluorescence_561_nm_Ex.tiff,A10_s2_x1_y0_Fluorescence_638_nm_Ex.tiff,A10_s2_x1_y0_Fluorescence_730_nm_Ex.tiff
P102785-A10-3,P102785,A10,3,A10_s3_x2_y0_Fluorescence_405_nm_Ex.tiff,A10_s3_x2_y0_Fluorescence_488_nm_Ex.tiff,A10_s3_x2_y0_Fluorescence_561_nm_Ex.tiff,A10_s3_x2_y0_Fluorescence_638_nm_Ex.tiff,A10_s3_x2_y0_Fluorescence_730_nm_Ex.tiff
P102785-A10-4,P102785,A10,4,A10_s4_x0_y1_Fluorescence_405_nm_Ex.tiff,A10_s4_x0_y1_Fluorescence_488_nm_Ex.tiff,A10_s4_x0_y1_Fluorescence_561_nm_Ex.tiff,A10_s4_x0_y1_Fluorescence_638_nm_Ex.tiff,A10_s4_x0_y1_Fluorescence_730_nm_Ex.tiff
P102785-A10-5,P102785,A10,5,A10_s5_x1_y1_Fluorescence_405_nm_Ex.tiff,A10_s5_x1_y1_Fluorescence_488_nm_Ex.tiff,A10_s5_x1_y1_Fluorescence_561_nm_Ex.tiff,A10_s5_x1_y1_Fluorescence_638_nm_Ex.tiff,A10_s5_x1_y1_Fluorescence_730_nm_Ex.tiff
P102785-A10-6,P102785,A10,6,A10_s6_x2_y1_Fluorescence_405_nm_Ex.tiff,A10_s6_x2_y1_Fluorescence_488_nm_Ex.tiff,A10_s6_x2_y1_Fluorescence_561_nm_Ex.tiff,A10_s6_x2_y1_Fluorescence_638_nm_Ex.tiff,A10_s6_x2_y1_Fluorescence_730_nm_Ex.tiff
P102785-A10-7,P102785,A10,7,A10_s7_x0_y2_Fluorescence_405_nm_Ex.tiff,A10_s7_x0_y2_Fluorescence_488_nm_Ex.tiff,A10_s7_x0_y2_Fluorescence_561_nm_Ex.tiff,A10_s7_x0_y2_Fluorescence_638_nm_Ex.tiff,A10_s7_x0_y2_Fluorescence_730_nm_Ex.tiff
P102785-A10-8,P102785,A10,8,A10_s8_x1_y2_Fluorescence_405_nm_Ex.tiff,A10_s8_x1_y2_Fluorescence_488_nm_Ex.tiff,A10_s8_x1_y2_Fluorescence_561_nm_Ex.tiff,A10_s8_x1_y2_Fluorescence_638_nm_Ex.tiff,A10_s8_x1_y2_Fluorescence_730_nm_Ex.tiff
P102785-A10-9,P102785,A10,9,A10_s9_x2_y2_Fluorescence_405_nm_Ex.tiff,A10_s9_x2_y2_Fluorescence_488_nm_Ex.tiff,A10_s9_x2_y2_Fluorescence_561_nm_Ex.tiff,A10_s9_x2_y2_Fluorescence_638_nm_Ex.tiff,A10_s9_x2_y2_Fluorescence_730_nm_Ex.tiff
